time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-19 00:00:00+00:00,2,1,215,57
2024-07-20 00:00:00+00:00,7,7,686,164
2024-07-21 00:00:00+00:00,4,3,423,115
2024-07-22 00:00:00+00:00,11,10,1368,199
2024-07-23 00:00:00+00:00,22,20,1650,242
2024-07-24 00:00:00+00:00,8,7,1597,208
2024-07-25 00:00:00+00:00,11,9,839,197
2024-07-26 00:00:00+00:00,7,7,914,186
2024-07-27 00:00:00+00:00,9,9,500,130
2024-07-28 00:00:00+00:00,9,6,441,102
2024-07-29 00:00:00+00:00,12,12,932,188
2024-07-30 00:00:00+00:00,6,5,935,194
2024-07-31 00:00:00+00:00,8,8,1162,187
2024-08-01 00:00:00+00:00,7,6,1059,179
2024-08-02 00:00:00+00:00,5,5,824,135
