time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-22 00:00:00+00:00,,,179,18
2024-09-23 00:00:00+00:00,5.0,4.0,615,165
2024-09-24 00:00:00+00:00,8.0,6.0,659,167
2024-09-25 00:00:00+00:00,7.0,7.0,555,176
2024-09-26 00:00:00+00:00,5.0,5.0,415,143
2024-09-27 00:00:00+00:00,3.0,3.0,429,144
2024-09-28 00:00:00+00:00,3.0,3.0,459,89
2024-09-29 00:00:00+00:00,5.0,4.0,410,120
2024-09-30 00:00:00+00:00,4.0,4.0,464,159
2024-10-01 00:00:00+00:00,5.0,5.0,298,108
2024-10-02 00:00:00+00:00,2.0,2.0,271,123
2024-10-03 00:00:00+00:00,4.0,4.0,293,122
2024-10-04 00:00:00+00:00,7.0,7.0,270,119
2024-10-05 00:00:00+00:00,10.0,6.0,207,90
2024-10-06 00:00:00+00:00,1.0,1.0,134,52
