time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-20 00:00:00+00:00,2,2,102,32
2023-12-21 00:00:00+00:00,19,17,1058,188
2023-12-22 00:00:00+00:00,39,19,1011,169
2023-12-23 00:00:00+00:00,18,18,1524,98
2023-12-24 00:00:00+00:00,13,12,375,77
2023-12-25 00:00:00+00:00,93,22,878,186
2023-12-26 00:00:00+00:00,49,27,1730,242
2023-12-27 00:00:00+00:00,21,17,1249,211
2023-12-28 00:00:00+00:00,15,15,934,182
2023-12-29 00:00:00+00:00,22,19,1107,174
2023-12-30 00:00:00+00:00,13,13,256,87
2023-12-31 00:00:00+00:00,13,13,364,64
2024-01-01 00:00:00+00:00,17,13,328,77
2024-01-02 00:00:00+00:00,205,29,1286,280
2024-01-03 00:00:00+00:00,28,26,1149,197
