time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,1,1,77,35
2024-09-18 00:00:00+00:00,6,6,866,164
2024-09-19 00:00:00+00:00,6,6,761,166
2024-09-20 00:00:00+00:00,6,6,1286,160
2024-09-21 00:00:00+00:00,10,6,485,106
2024-09-22 00:00:00+00:00,3,2,377,80
2024-09-23 00:00:00+00:00,5,4,615,165
2024-09-24 00:00:00+00:00,8,6,659,167
2024-09-25 00:00:00+00:00,7,7,555,176
2024-09-26 00:00:00+00:00,5,5,415,143
2024-09-27 00:00:00+00:00,3,3,429,144
2024-09-28 00:00:00+00:00,3,3,459,89
2024-09-29 00:00:00+00:00,5,4,410,120
2024-09-30 00:00:00+00:00,4,4,464,159
2024-10-01 00:00:00+00:00,4,4,204,78
