time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-24 00:00:00+00:00,11,3,135,33
2023-10-25 00:00:00+00:00,58,37,2231,302
2023-10-26 00:00:00+00:00,47,34,2228,298
2023-10-27 00:00:00+00:00,33,22,1910,224
2023-10-28 00:00:00+00:00,19,18,710,112
2023-10-29 00:00:00+00:00,10,10,581,117
2023-10-30 00:00:00+00:00,138,32,1645,256
2023-10-31 00:00:00+00:00,95,33,1962,310
2023-11-01 00:00:00+00:00,30,26,1695,227
2023-11-02 00:00:00+00:00,21,16,1435,219
2023-11-03 00:00:00+00:00,34,22,1144,219
2023-11-04 00:00:00+00:00,18,16,738,110
2023-11-05 00:00:00+00:00,10,10,944,114
2023-11-06 00:00:00+00:00,160,29,1526,233
2023-11-07 00:00:00+00:00,30,22,1792,210
