time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-15 00:00:00+00:00,6,6,567,89
2024-03-16 00:00:00+00:00,29,27,1919,481
2024-03-17 00:00:00+00:00,26,23,1516,400
2024-03-18 00:00:00+00:00,46,38,2399,481
2024-03-19 00:00:00+00:00,44,39,2351,382
2024-03-20 00:00:00+00:00,26,20,1665,305
2024-03-21 00:00:00+00:00,35,30,2300,333
2024-03-22 00:00:00+00:00,27,23,1157,268
2024-03-23 00:00:00+00:00,17,16,822,140
2024-03-24 00:00:00+00:00,10,8,703,141
2024-03-25 00:00:00+00:00,38,35,1313,279
2024-03-26 00:00:00+00:00,26,23,1503,289
2024-03-27 00:00:00+00:00,44,32,1479,286
2024-03-28 00:00:00+00:00,33,30,2044,295
2024-03-29 00:00:00+00:00,24,22,1216,198
