time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-28 00:00:00+00:00,,,70,24
2024-09-29 00:00:00+00:00,5.0,4.0,410,120
2024-09-30 00:00:00+00:00,4.0,4.0,464,159
2024-10-01 00:00:00+00:00,5.0,5.0,298,108
2024-10-02 00:00:00+00:00,2.0,2.0,271,123
2024-10-03 00:00:00+00:00,4.0,4.0,293,122
2024-10-04 00:00:00+00:00,7.0,7.0,270,119
2024-10-05 00:00:00+00:00,10.0,6.0,207,90
2024-10-06 00:00:00+00:00,2.0,2.0,215,87
2024-10-07 00:00:00+00:00,5.0,5.0,237,125
2024-10-08 00:00:00+00:00,9.0,8.0,487,175
2024-10-09 00:00:00+00:00,5.0,5.0,522,194
2024-10-10 00:00:00+00:00,10.0,10.0,562,187
2024-10-11 00:00:00+00:00,7.0,7.0,651,201
2024-10-12 00:00:00+00:00,7.0,7.0,447,107
